Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Female,14.0,65.0,22.0,359800,826100,140,5143700
2001,Large (1000+),Female,14.0,65.0,27.0,518500,2436100,40,8658100
2001,Large (1000+),Female,14.0,65.0,30.0,479900,1563300,50,7322100
2001,Large (1000+),Female,16.0,22.0,0.0,198900,46400,24890,2433200
2001,Large (1000+),Female,16.0,22.0,1.5,213200,669000,35770,3227400
2001,Large (1000+),Female,16.0,22.0,3.5,208300,831100,360,3330700
2001,Large (1000+),Female,16.0,22.0,7.0,194500,574500,60,2908500
2001,Large (1000+),Female,16.0,27.0,0.0,233200,92200,6870,2890600
2001,Large (1000+),Female,16.0,27.0,1.5,235400,863300,21050,3688100
2001,Large (1000+),Female,16.0,27.0,3.5,234300,1005900,41450,3817500
2001,Large (1000+),Female,16.0,27.0,7.0,259300,1229800,23680,4341400
2001,Large (1000+),Female,16.0,27.0,12.0,209400,678300,10,3191100
2001,Large (1000+),Female,16.0,32.0,0.0,297600,142300,2690,3713500
2001,Large (1000+),Female,16.0,32.0,1.5,304500,957600,3140,4611600
2001,Large (1000+),Female,16.0,32.0,3.5,296400,1154200,2990,4711000
2001,Large (1000+),Female,16.0,32.0,7.0,291100,1381200,28450,4874400
2001,Large (1000+),Female,16.0,32.0,12.0,317200,1491200,20100,5297600
2001,Large (1000+),Female,16.0,32.0,17.0,234500,480500,10,3294500
2001,Large (1000+),Female,16.0,37.0,0.0,354500,495100,940,4749100
2001,Large (1000+),Female,16.0,37.0,1.5,376300,1645200,1660,6160800
2001,Large (1000+),Female,16.0,37.0,3.5,334400,1714100,1100,5726900
2001,Large (1000+),Female,16.0,37.0,7.0,321900,1566300,2800,5429100
2001,Large (1000+),Female,16.0,37.0,12.0,363700,1710800,14450,6075200
2001,Large (1000+),Female,16.0,37.0,17.0,397400,1978600,4930,6747400
2001,Large (1000+),Female,16.0,37.0,22.0,264500,350500,10,3524500
2001,Large (1000+),Female,16.0,42.0,0.0,361700,215500,510,4555900
2001,Large (1000+),Female,16.0,42.0,1.5,335300,741300,1020,4764900
2001,Large (1000+),Female,16.0,42.0,3.5,318300,1072800,850,4892400
2001,Large (1000+),Female,16.0,42.0,7.0,455200,1893600,1900,7356000
2001,Large (1000+),Female,16.0,42.0,12.0,381100,1652300,1260,6225500
2001,Large (1000+),Female,16.0,42.0,17.0,427800,2038600,5030,7172200
2001,Large (1000+),Female,16.0,42.0,22.0,428500,2118400,2810,7260400
2001,Large (1000+),Female,16.0,42.0,27.0,420900,2601900,90,7652700
2001,Large (1000+),Female,16.0,47.0,0.0,255200,185900,400,3248300
2001,Large (1000+),Female,16.0,47.0,1.5,274300,763300,510,4054900
2001,Large (1000+),Female,16.0,47.0,3.5,394500,1406700,760,6140700
2001,Large (1000+),Female,16.0,47.0,7.0,343100,1522400,960,5639600
2001,Large (1000+),Female,16.0,47.0,12.0,465800,1933300,1400,7522900
2001,Large (1000+),Female,16.0,47.0,17.0,451700,2485200,760,7905600
2001,Large (1000+),Female,16.0,47.0,22.0,521300,2940500,2030,9196100
2001,Large (1000+),Female,16.0,47.0,27.0,480800,2257600,1080,8027200
2001,Large (1000+),Female,16.0,52.0,0.0,154100,63300,40,1912500
2001,Large (1000+),Female,16.0,52.0,1.5,410600,1220800,130,6148000
2001,Large (1000+),Female,16.0,52.0,3.5,246100,93600,70,3046800
2001,Large (1000+),Female,16.0,52.0,7.0,487400,1598700,770,7447500
2001,Large (1000+),Female,16.0,52.0,12.0,387000,1563400,840,6207400
2001,Large (1000+),Female,16.0,52.0,17.0,443400,2067400,790,7388200
2001,Large (1000+),Female,16.0,52.0,22.0,408000,1642500,610,6538500
