年,産業分類,規模,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,出勤日数,前月末労働者数,本月末労働者数,増加労働者数,減少労働者数
2000,I,4,562108.0,410412.0,390009.0,20403.0,151696.0,158.5,150.5,8.0,20.0,337186.0,335842.0,3101.0,4498.0
2000,I,M,414757.6666666667,325547.3333333333,312693.0,12854.333333333334,89210.33333333333,168.83333333333334,161.0666666666667,7.766666666666666,21.03333333333333,5616297.0,5601463.0,77923.0,93470.0
2000,I,T,401596.0,318366.0,306268.0,12098.0,83230.0,170.0,162.3,7.7,21.2,5953483.0,5937304.0,81023.0,97968.0
2000,J,4,719490.0,503770.0,469382.0,34388.0,215720.0,156.7,144.2,12.5,19.7,186557.0,186455.0,3447.0,3548.0
2000,J,M,507407.0,376205.6666666667,356360.6666666667,19845.0,131201.33333333334,153.33333333333334,144.9,8.433333333333334,19.633333333333336,1317834.0,1313115.0,25269.0,29986.0
2000,J,T,518431.0,381864.0,360684.0,21180.0,136567.0,154.4,145.5,8.9,19.7,1504391.0,1499572.0,28715.0,33533.0
2000,O,4,660337.0,482780.0,467450.0,15330.0,177557.0,146.2,140.5,5.7,19.2,37314.0,37297.0,363.0,405.0
2000,O,M,576355.6666666666,418294.3333333333,411221.3333333333,7073.0,158061.33333333334,152.66666666666666,148.36666666666667,4.3,19.900000000000002,1953706.0,1952704.0,27178.0,28202.0
2000,O,T,562182.0,409796.0,403421.0,6375.0,152386.0,153.7,149.4,4.3,20.0,1991019.0,1990001.0,27541.0,28607.0
2000,P,4,529067.0,402727.0,361939.0,40788.0,126340.0,163.5,151.8,11.7,20.2,385321.0,385437.0,5301.0,5221.0
2000,P,M,398497.3333333333,307725.3333333333,291451.0,16274.333333333334,90772.0,158.0666666666667,152.03333333333333,6.033333333333334,20.5,2471352.0,2473917.0,35986.0,33165.0
2000,P,T,417833.0,322195.0,302048.0,20147.0,95638.0,158.9,152.0,6.9,20.5,2856673.0,2859354.0,41286.0,38385.0
2000,Q,4,543617.0,414299.0,384437.0,29862.0,129318.0,159.8,147.1,12.7,19.0,15167.0,15107.0,199.0,258.0
2000,Q,M,439666.0,328878.3333333333,314282.3333333333,14596.0,110787.66666666667,159.53333333333333,152.13333333333333,7.400000000000001,20.133333333333336,485827.0,485235.0,5434.0,6084.0
2000,Q,T,442171.0,330922.0,315841.0,15081.0,111249.0,159.3,151.8,7.5,20.0,500994.0,500343.0,5633.0,6342.0
2000,TL,4,550431.0,407757.0,364611.0,43146.0,142674.0,163.8,148.4,15.4,19.5,4074256.0,4065740.0,40989.0,49661.0
2000,TL,M,414486.6666666667,328036.0,306092.3333333333,21943.666666666668,86450.66666666667,168.86666666666667,157.1,11.766666666666666,20.733333333333334,30663013.0,30616011.0,449164.0,498594.0
2000,TL,T,421195.0,332471.0,309515.0,22956.0,88724.0,168.8,157.0,11.8,20.7,34737269.0,34681752.0,490152.0,548256.0
2001,C,M,452843.0,347942.0,323131.0,24811.0,104901.0,166.43333333333334,155.6,10.833333333333334,20.866666666666664,40223.0,40108.0,367.0,478.0
2001,C,T,394805.0,321574.0,297393.0,24181.0,73231.0,172.1,160.4,11.7,21.5,43157.0,42905.0,387.0,636.0
2001,D,4,598528.0,463425.0,429374.0,34051.0,135103.0,168.6,153.9,14.7,20.1,136732.0,136295.0,1110.0,1547.0
2001,D,M,429563.0,358087.6666666667,335714.6666666667,22373.0,71475.33333333333,171.9333333333333,159.3,12.633333333333333,21.066666666666666,3637026.0,3629151.0,61895.0,70142.0
2001,D,T,385639.0,332107.0,314387.0,17720.0,53532.0,172.3,161.8,10.5,21.4,3773758.0,3765447.0,63004.0,71688.0
