年,産業分類,労働者数,増加労働者数,減少労働者数,パートタイム労働者数,労働者数割合
2022,F,231676.0,2912.0,3193.0,,0.66
2022,G,1486276.0,23602.0,23611.0,,4.232
2022,H,2552664.0,31637.0,34433.0,,7.268
2022,I,5515488.0,76744.0,79136.0,,15.705
2022,J,1208280.0,20416.0,23290.0,,3.44
2022,K,658241.0,11354.0,10150.0,,1.874
2022,L,1398561.0,17115.0,15563.0,,3.982
2022,M,1189037.0,30130.0,31327.0,,3.386
2022,N,853867.0,16685.0,17261.0,,2.431
2022,O,2185782.0,35084.0,35738.0,,6.224
2022,P,5224268.0,75512.0,71718.0,,14.876
2022,Q,328487.0,5441.0,6967.0,,0.935
2022,R,3055703.0,74205.0,72328.0,,8.701
2022,TL,35119640.0,510387.0,516379.0,,100.0
2023,C,11373.0,133.0,134.0,,0.032
2023,D,2611141.0,29889.0,29400.0,,7.371
2023,E,6674262.0,62914.0,62692.0,,18.84
2023,F,231959.0,3179.0,3049.0,,0.655
2023,G,1520776.0,23940.0,22329.0,,4.293
2023,H,2546748.0,35416.0,35622.0,,7.189
2023,I,5429983.0,74859.0,74645.0,,15.328
2023,J,1212413.0,22304.0,23093.0,,3.422
2023,K,701442.0,12100.0,10414.0,,1.98
2023,L,1430985.0,18710.0,16729.0,,4.039
2023,M,1161274.0,31019.0,31187.0,,3.278
2023,N,841317.0,17413.0,17901.0,,2.375
2023,O,2264153.0,38633.0,35499.0,,6.391
2023,P,5316642.0,80419.0,78935.0,,15.008
2023,Q,318115.0,5076.0,5679.0,,0.898
2023,R,3153235.0,69960.0,66280.0,,8.901
2023,TL,35425818.0,525962.0,513589.0,,100.0
2024,C,12397.0,89.0,140.0,,0.035
2024,D,2380143.0,30317.0,28582.0,,6.774
2024,E,6673557.0,60225.0,61791.0,,18.994
2024,F,252524.0,2775.0,3004.0,,0.719
2024,G,1745646.0,26783.0,25831.0,,4.968
2024,H,2497867.0,34652.0,34661.0,,7.109
2024,I,5175305.0,73362.0,73267.0,,14.73
2024,J,1191514.0,22951.0,22951.0,,3.391
2024,K,726809.0,12328.0,11100.0,,2.069
2024,L,1545081.0,21625.0,20572.0,,4.398
2024,M,962257.0,25365.0,24193.0,,2.739
2024,N,728400.0,14289.0,13278.0,,2.073
2024,O,2151300.0,34760.0,33786.0,,6.123
2024,P,5530844.0,81648.0,80350.0,,15.742
2024,Q,285422.0,4339.0,4652.0,,0.812
2024,R,3276361.0,72648.0,71307.0,,9.325
2024,TL,35135425.0,518155.0,509465.0,,100.0
